,meshcode,tnodeno,snodeno,enodeno,slanecnt,slaneinfo,elanecnt,elaneinfo,geometry
0,513243,13311,14213,13312,1,0000000000100000,2,0000000000110000,
1,513243,13311,14219,13312,1,0000000000010000,2,0000000000110000,
2,513243,13554,13555,13908,2,0000000001100000,2,0000000001100000,
3,513243,13554,13555,14173,2,0000000001100000,1,0000000000010000,
4,513243,13563,13815,14222,2,0000000001100000,3,0000000001110000,
5,513243,13563,13915,14222,1,0000000000010000,3,0000000001110000,
6,513243,13703,11578,13556,2,0000000001100000,2,0000000001100000,
7,513243,13703,11578,13811,2,0000000001100000,1,0000000000010000,
8,513243,13811,13703,13912,1,0000000000010000,1,0000000000100000,
9,513243,13811,13709,13912,1,0000000000100000,1,0000000000100000,
10,513243,13912,13314,13555,2,0000000001100000,2,0000000001100000,
11,513243,13912,13811,13555,1,0000000000010000,2,0000000001100000,
12,513243,13995,14121,13916,1,0000000000100000,1,0000000000010000,
13,513243,13995,14121,14066,1,0000000000100000,1,0000000000100000,
14,513243,13998,14175,14419,2,0000000000110000,1,0000000000100000,
15,513243,13998,14175,14440,2,0000000000110000,1,0000000000001000,
16,513243,14066,13313,11577,2,0000000001100000,2,0000000001100000,
17,513243,14066,13995,11577,1,0000000000010000,2,0000000001100000,
18,513243,14069,14180,14124,1,0000000000010000,2,0000000000110000,
19,513243,14069,14402,14124,1,0000000000100000,2,0000000000110000,
20,513243,14121,13702,13995,2,0000000001100000,1,0000000000010000,
21,513243,14121,13702,14575,2,0000000001100000,2,0000000001100000,
22,513243,14262,14124,14213,2,0000000000110000,1,0000000000100000,
23,513243,14262,14124,14221,2,0000000000110000,1,0000000000001000,
24,513243,14297,14263,13999,3,0000000001110000,2,0000000001100000,
25,513243,14297,14263,14070,3,0000000001110000,1,0000000000010000,
26,513243,14323,14166,14175,1,0000000000100000,2,0000000000110000,
27,513243,14323,14296,14175,1,0000000000010000,2,0000000000110000,
28,513243,14365,14125,13709,1,0000000000100000,1,0000000000100000,
29,513243,14365,14125,13816,1,0000000000100000,2,0000000000011000,
30,513243,14381,13916,13710,1,0000000000010000,1,0000000000100000,
31,513243,14381,14000,13710,1,0000000000100000,1,0000000000100000,
32,513243,14406,14144,14240,2,0000000001100000,2,0000000001100000,
33,513243,14406,14407,14240,1,0000000000010000,2,0000000001100000,
34,513243,14433,14388,14141,2,0000000001100000,2,0000000001100000,
35,513243,14433,14388,14194,2,0000000001100000,1,0000000000010000,
36,513243,14571,14568,14563,3,0000000001110000,1,0000000000010000,
37,513243,14571,14568,14569,3,0000000001110000,2,0000000001100000,
