,meshcode,linkno,snodeno,enodeno,railtype,ktentype,ktenzax,ktenzay,geometry
0,513244,30,3503,27,3,3,477027332,123611870,
1,513244,88,5284,141,3,2,477126153,123727657,
2,513244,251,2142,201,3,2,477126237,123679498,
3,513244,274,3111,2630,2,2,477206040,123786884,
4,513244,480,649,2023,2,1,477194546,123776218,
5,513244,503,3578,2238,2,2,476999918,123800115,
6,513244,521,4023,4066,2,1,477219620,123799517,
7,513244,590,1593,5442,2,1,477117399,123737956,
8,513244,591,5442,5424,3,1,477117972,123736723,
9,513244,705,3746,345,4,1,476995375,123870707,
10,513244,717,1917,3988,2,1,477068190,123748754,
11,513244,906,526,525,2,1,477150736,123745889,
12,513244,980,676,1000,2,1,477288462,123861714,
13,513244,1194,1400,4032,2,1,477235574,123814383,
14,513244,1211,673,4178,2,1,477308341,123895611,
15,513244,1397,5423,2093,3,1,477103082,123740689,
16,513244,1397,5423,2093,2,1,477103123,123740722,
17,513244,1424,5595,457,3,1,477122798,123734156,
18,513244,1425,150,5604,3,1,477060178,123637335,
19,513244,1677,923,924,2,1,477099523,123741522,
20,513244,1684,587,182,3,1,477122064,123672098,
21,513244,1882,3830,3473,2,1,477038902,123748120,
22,513244,1901,398,677,2,1,477284536,123855414,
23,513244,1940,4450,1895,2,1,477018981,123760019,
24,513244,2076,5403,4923,3,1,477126317,123720425,
25,513244,2815,1971,753,4,1,476997256,123862941,
26,513244,4558,648,990,2,1,477181661,123764152,
27,513244,4994,1554,1090,2,1,477013336,123767385,
28,513244,5226,1969,1970,4,1,476998976,123850876,
29,513244,5327,2148,2149,3,1,477097891,123659865,
30,513244,5978,1323,3070,2,1,477085289,123744922,
31,513244,6331,3154,3625,3,1,477084474,123658799,
32,513244,7204,1499,1970,4,1,476998935,123855809,
33,513244,7385,4330,6035,2,1,477126685,123738490,
34,513244,7413,934,6099,2,1,477166567,123753754,
35,513244,7675,5385,6659,3,1,477126399,123692029,
36,513244,7730,1313,6687,3,1,477119854,123735990,
37,513244,8570,6011,7189,3,2,477126359,123714993,
38,513244,8773,7204,1624,2,1,477054282,123750853,
39,513244,8858,7288,1550,3,1,477124764,123675898,
40,513244,9171,149,7476,3,1,477051383,123626569,
41,513244,9188,7488,6680,3,3,477105663,123662432,
42,513244,9264,7554,1986,4,1,476993042,123897172,
43,513244,9392,7830,6629,3,1,477027209,123611737,
44,513244,9453,7911,7647,3,3,477126359,123716126,
45,513244,9457,7910,7649,3,3,477126358,123716892,
46,513244,9528,7758,7983,2,1,477254716,123825916,
47,513244,9609,7869,6000,3,1,477105785,123662499,
48,513244,10668,666,8414,2,1,477046878,123749920,
