Unnamed: 0,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,signpos,variable,existroad,exlinkno,geometry,Longitude,Latitude,X1,Y1
0,513244,3,1,1,1,40,477051975,123903812,0,0,0,0,,132.5144375,34.417725555555556,10043.094271796173,4139.959200451558
1,513244,5,1,2,1,40,477052549,123895064,0,0,0,0,,132.51459694444443,34.41529555555555,10041.774927568506,3869.022524240223
2,513244,5,1,2,2,40,477051997,123898585,0,0,0,0,,132.51444361111112,34.41627361111111,10034.093857883243,3978.5590168565686
3,513244,6,1,1,1,40,477053876,123894655,0,0,0,0,,132.51496555555556,34.41518194444444,10074.97785887774,3854.3840849017433
4,513244,10,1,1,1,60,477064547,123909249,0,0,0,0,,132.51792972222222,34.41923583333333,10374.679619924165,4288.752028867049
5,513244,12,1,1,1,60,477053018,123896400,0,0,0,0,,132.51472722222223,34.41566666666667,10056.218356676516,3909.556152157922
6,513244,15,1,1,1,60,477053000,123889082,0,0,0,0,,132.51472222222222,34.41363388888889,10042.370325185242,3683.6637449785485
7,513244,28,1,1,1,60,477020791,123617542,0,0,0,0,,132.5057752777778,34.33820611111111,8721.27401759522,-4650.445523302711
8,513244,43,1,1,1,60,476991272,123627840,0,0,0,0,,132.49757555555556,34.34106666666667,7984.182265167008,-4287.717131832789
9,513244,71,1,1,1,60,477014394,123620327,0,0,0,0,,132.50399833333333,34.33897972222222,8562.548392854747,-4554.762170282484
10,513244,7602,1,1,1,40,477019960,123858262,0,0,1,7753,,132.50554444444444,34.405072777777775,9140.564633591217,2782.320229039062
11,513244,7608,1,1,1,40,477020022,123857433,0,0,1,7759,,132.50556166666667,34.4048425,9140.632561297738,2756.633231131709
12,513244,7616,1,1,1,40,477052547,123899629,0,0,0,0,,132.5145963888889,34.41656361111111,10050.07539124426,4009.955248387065
13,513244,7749,1,1,1,60,477049299,123872156,0,0,0,0,,132.51369416666665,34.40893222222222,9916.711705131922,3166.7391445346584
14,513244,7805,1,2,1,40,477022795,123614570,0,0,0,0,,132.50633194444444,34.337380555555555,8767.160110063036,-4745.236696626991
15,513244,7805,1,2,2,40,477025416,123612456,0,0,0,0,,132.50706,34.33679333333333,8830.41680446663,-4814.4750480391085
16,513244,7811,1,1,1,40,477020836,123617795,0,0,0,0,,132.50578777777778,34.338276388888886,8722.889048612094,-4642.703165250889
17,513244,7817,1,2,1,40,477023924,123615355,0,0,0,0,,132.50664555555556,34.33759861111111,8797.507969805505,-4722.714485647273
18,513244,7817,1,2,2,40,477026301,123613525,0,0,0,0,,132.50730583333333,34.337090277777776,8855.035187893664,-4782.81497791165
19,513244,9425,1,2,1,60,477005982,123681959,0,0,0,0,,132.50166166666668,34.356099722222226,8459.93333976774,-2639.2879120762227
20,513244,9425,1,2,2,40,477042738,123670125,0,0,0,0,,132.51187166666668,34.3528125,9379.381926080328,-3060.3829874262738
21,513244,9481,1,1,1,40,476995343,123766448,0,0,0,0,,132.49870638888888,34.37956888888889,8342.335854144418,-14.775591365178116
22,513244,9617,1,1,1,60,476992388,123684457,0,0,0,0,,132.49788555555557,34.35679361111111,8116.456515212543,-2541.52338155068
23,513244,9757,1,1,1,40,477036144,123856317,0,0,0,0,,132.51004,34.4045325,9551.123256621882,2697.7120241551893
24,513244,9808,1,1,1,60,477044452,123670305,0,0,0,0,,132.5123477777778,34.3528625,9423.596468839445,-3057.423662998568
25,513244,9853,1,2,1,60,476997913,123724637,0,0,0,0,,132.49942027777777,34.36795472222222,8331.511322612176,-1309.4744039606303
26,513244,9853,1,2,2,60,476994388,123747391,0,0,0,0,,132.4984411111111,34.37427527777778,8282.966402520542,-601.6546449702582
27,513244,9935,1,2,1,40,476998732,123683750,0,0,0,0,,132.49964777777777,34.35659722222222,8277.588583836914,-2572.986645704834
28,513244,9935,1,2,2,40,476994944,123684025,0,0,0,0,,132.49859555555557,34.35667361111111,8181.107086692704,-2558.743110640644
29,513244,9949,1,1,1,40,476992710,123704908,0,0,0,0,,132.497975,34.362474444444445,8162.167002253118,-1910.6462396054994
30,513244,9950,1,1,1,40,476997342,123714798,0,0,0,0,,132.49926166666665,34.36522166666666,8298.869513518293,-1612.3577846298285
31,513244,10000,1,1,1,60,477006520,123830093,0,0,0,0,,132.50181111111112,34.39724805555556,8745.031995898113,1933.0974342463014
32,513244,10043,1,1,1,40,476998408,123684953,0,0,0,0,,132.49955777777777,34.35693138888889,8271.496273029945,-2535.355394126789
33,513244,10139,1,1,1,60,476991788,123685023,0,0,0,0,,132.4977188888889,34.356950833333336,8102.131457146606,-2523.1381794810586
34,513244,10167,1,1,1,40,476995267,123788192,0,0,0,0,,132.49868527777778,34.38560888888889,8380.24411928025,656.62335003732
35,513244,10179,1,1,1,40,477005912,123820266,0,0,0,0,,132.50164222222222,34.39451833333333,8711.464285020484,1630.6413392460381
36,513244,10181,1,1,1,40,477004505,123839347,0,0,0,0,,132.50125138888887,34.39981861111111,8710.427560903365,2221.848577534023
37,513244,10191,1,1,1,40,477029436,123855795,0,0,0,0,,132.50817666666666,34.4043875,9378.52118317841,2691.7752532090235
38,513244,10243,1,1,1,40,477005928,123833590,0,0,0,0,,132.50164666666666,34.39821944444444,8736.291079593124,2041.956314549985
39,513244,10244,1,1,1,60,477007206,123845135,0,0,0,0,,132.50200166666667,34.401426388888886,8790.153339295182,2396.4327119046648
40,513244,10286,1,1,1,60,476994392,123771487,0,0,0,0,,132.49844222222222,34.38096861111111,8327.229459183407,142.23415098147234
41,513244,10327,1,1,1,40,476997865,123713977,0,0,0,0,,132.49940694444444,34.36499361111111,8310.754712436232,-1638.4982561503712
42,513244,10341,1,2,1,60,476997707,123723644,0,0,0,0,,132.49936305555556,34.36767888888889,8324.41864040948,-1339.817483806226
43,513244,10341,1,2,2,60,476994296,123745121,0,0,0,0,,132.49841555555557,34.373644722222224,8276.45154993108,-671.5945973410562
44,513244,10342,1,1,1,60,476995962,123803546,16,0,0,0,,132.49887833333332,34.389873888888886,8426.17659218132,1129.5777108108741
45,513244,10343,1,1,1,60,476995419,123771673,0,0,0,0,,132.4987275,34.38102027777778,8353.857198031852,146.41577472846257
46,513244,10344,1,1,1,40,476995627,123778717,0,0,0,0,,132.49878527777778,34.382976944444444,8372.091323101195,363.5629419698962
47,513244,10349,1,1,1,40,477008111,123822261,0,0,0,0,,132.50225305555554,34.3950725,8771.39551080577,1688.8908355112362
48,513244,10355,1,1,1,60,477007015,123824540,0,0,0,0,,132.50194861111112,34.39570555555556,8747.523538485519,1760.91300883863
49,513244,10356,1,1,1,40,477009837,123849991,0,0,0,0,,132.5027325,34.40277527777778,8866.377674320014,2542.3507772117155
50,513244,10386,1,1,1,40,476994303,123766515,0,0,0,0,,132.4984175,34.3795875,8315.838612279389,-11.126836650131736
51,513244,10388,1,1,1,40,477001130,123813119,0,0,0,0,,132.50031388888888,34.39253305555555,8575.986114713829,1417.2634891718044
52,513244,10437,1,1,1,40,477005615,123841931,0,0,0,0,,132.50155972222223,34.40053638888889,8743.568258265732,2299.935631167289
53,513244,10492,1,1,1,60,477045791,123864751,0,0,0,0,,132.51271972222222,34.40687527777778,9813.404039285379,2943.452764938207
54,513244,10532,1,1,1,40,477002569,123813558,0,0,0,0,,132.5007136111111,34.392655,8613.617776841857,1428.6300511438749
55,513244,10580,1,1,1,40,476994390,123777282,0,0,0,0,,132.49844166666668,34.382578333333335,8337.799871403258,321.1411785487726
56,513244,10596,1,1,1,60,476995962,123803546,16,0,0,0,,132.49887833333332,34.389873888888886,8426.17659218132,1129.5777108108741
57,513244,10606,1,1,1,40,476994164,123787680,0,0,1,10592,,132.49837888888888,34.385466666666666,8351.075037110131,642.4930176938651
58,513244,10719,1,1,1,30,477068577,123912495,0,0,0,0,,132.51904916666666,34.4201375,10483.716153221321,4382.8551073240815
